Tissue,sgID,Cell_Line,Mouse_Genotype,Sex,Time_Point,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy
WholeBlood,Arpc4mmu-sg1,rp48,BL6,M,3weeks,0.409845955272843,0.435758571926125,0.563066059984011,,1
WholeBlood,Bag1mmu-sg3,rp48,BL6,M,3weeks,0.706972419116404,1.38022824129006,0.41617971120157,,1
WholeBlood,Cdh6mmu-sg2,rp48,BL6,M,3weeks,3.08316820958726,1.04518558745414,3.50092434228587,,1
WholeBlood,Chd7mmu-sg2,rp48,BL6,M,3weeks,2.06658490671176,1.58979326183692,0.960092758032797,,1
WholeBlood,Chd7mmu-sg3,rp48,BL6,M,3weeks,1.7144653427403,2.13337065767905,1.14926545375187,0.313080657804159,1
WholeBlood,Crebbpmmu-sg1,rp48,BL6,M,3weeks,13.6969066311435,1.30566657974016,6.90839714333685,,0.928571428571429
WholeBlood,Crebbpmmu-sg2,rp48,BL6,M,3weeks,4.05454769710126,2.21709705000704,2.54899438629443,,1
WholeBlood,Crebbpmmu-sg3,rp48,BL6,M,3weeks,4.70478102937459,2.22054252402034,2.10349091972255,,1
WholeBlood,Ctnnd1mmu-sg1,rp48,BL6,M,3weeks,1.50868870149569,1.11819564502635,1.49254781445584,1.07408510343458,1
WholeBlood,Ctnnd1mmu-sg2,rp48,BL6,M,3weeks,1.26258213033456,0.864905911215981,1.44607707035049,,1
WholeBlood,Ctnnd1mmu-sg3,rp48,BL6,M,3weeks,0.479902923039426,0.654586616481032,0.62498436039529,,1
WholeBlood,Ewsr1mmu-sg1,rp48,BL6,M,3weeks,0.949811433664347,0.80645222553452,0.778421640770753,,1
WholeBlood,Ewsr1mmu-sg2,rp48,BL6,M,3weeks,1.22513038275674,0.887476626318241,1.02969248194502,,1
WholeBlood,Ewsr1mmu-sg3,rp48,BL6,M,3weeks,5.25968347138309,1.25515549810203,4.89101545228642,,1
WholeBlood,Gabrr1mmu-sg2,rp48,BL6,M,3weeks,1.62080640569358,1.63716897063712,1.17276697666694,,1
WholeBlood,Gabrr1mmu-sg3,rp48,BL6,M,3weeks,0.681769975518485,0.786008119583287,0.542109271869692,,1
WholeBlood,Gata6mmu-sg3,rp48,BL6,M,3weeks,1.11907989590645,0.437726479549861,1.59492008680004,,1
WholeBlood,Gpatch8mmu-sg1,rp48,BL6,M,3weeks,0.776642662423521,1.211339946954,0.682019663797306,,1
WholeBlood,KMT5Bmmu-sg1,rp48,BL6,M,3weeks,0.962930003586479,1.2526346653692,0.612776432144323,,1
WholeBlood,KMT5Bmmu-sg3,rp48,BL6,M,3weeks,5.29195677155146,0.904780917201185,7.26687711215998,,1
WholeBlood,Kctd10mmu-sg1,rp48,BL6,M,3weeks,2.25619216582484,0.543295416899259,3.76882169082224,,1
