Mouse_ID,Tissue,sgID,Cell_Line,MetBurden,MetSeeding,SizePercentile,PeakMode,MetDormancy,SizePercentile_50,SizePercentile_20
73200,Liver,Actr3mmu-sg1,rp48,0.744516187,0.715372509,1.065103622,1.353448993,1.004435542,1.132492114,0.944792974
73200,Liver,Actr3mmu-sg2,rp48,0.69839369,0.507170172,1.086455935,,1.004435542,2.123028391,1.893350063
73200,Liver,Actr3mmu-sg3,rp48,0.821516602,0.744143605,0.635963994,,0.951570513,0.848580442,1.079046424
73200,Liver,Arpc4mmu-sg1,rp48,0.658605493,0.58611124,0.981787733,1.946143171,1.004435542,1.332807571,1.079046424
73200,Liver,Arpc4mmu-sg2,rp48,0.136370175,0.415823871,0.234038099,,1.004435542,0.548895899,0.647427854
73200,Liver,Arpc4mmu-sg3,rp48,0.311093099,0.550320357,0.346137743,,1.004435542,0.897476341,1.481806775
73200,Liver,Bag1mmu-sg1,rp48,1.162995515,0.775631519,1.496755286,3.680201209,1.004435542,1.815457413,1.417816813
73200,Liver,Bag1mmu-sg2,rp48,0.743859712,0.809276991,0.952899309,1.018333998,1.004435542,1.015772871,1.363864492
73200,Liver,Bag1mmu-sg3,rp48,0.914951309,0.737822868,1.022608332,3.046610932,1.004435542,1.665615142,1.637390213
73200,Liver,Brk1mmu-sg2,rp48,0.678546551,0.549645024,1.125183169,1.647056966,0.984740727,1.347003155,1.461731493
73200,Liver,Brk1mmu-sg3,rp48,0.161175716,0.180175537,1.022503663,,1.004435542,0.867507886,1.215809285
73200,Liver,Cdh6mmu-sg2,rp48,0.422948714,0.540697269,0.715093155,0.923435699,1.004435542,0.813880126,1.086574655
73200,Liver,Cdh6mmu-sg3,rp48,1.092866259,0.837367526,1.508582793,1.346091596,1.004435542,1.255520505,1.345043915
73200,Liver,Chd7mmu-sg1,rp48,1.282451877,0.859548465,1.44588654,1.43763048,0.993862536,1.400630915,1.25846926
73200,Liver,Chd7mmu-sg2,rp48,1.448699016,0.909515999,1.570546368,1.684382023,0.983064573,1.35488959,1.076537014
73200,Liver,Chd7mmu-sg3,rp48,1.264369523,1.053473692,1.319028679,0.977603167,0.994869489,0.90851735,0.795483061
73200,Liver,Crebbpmmu-sg1,rp48,1.500583801,1.302653107,1.102365501,2.415237325,0.996995278,1.018927445,0.795483061
73200,Liver,Crebbpmmu-sg2,rp48,2.042231986,1.505375278,1.639522713,2.309056347,0.994869489,1.223974763,1.016311167
73200,Liver,Crebbpmmu-sg3,rp48,1.616882611,1.209194749,1.260937827,1.255558349,0.984346831,1.028391167,0.784190715
